Entity,Code,Year,ag_land_index,labor_index,food_supply_per_capita
Mexico,MEX,1981,80.8251,81.2557,123.01817
Mexico,MEX,1982,81.3003,80.633,123.085976
Mexico,MEX,1983,82.8697,85.2882,125.824455
Mexico,MEX,1984,82.6487,86.8299,126.22027
Mexico,MEX,1985,84.4293,90.1874,129.99724
Mexico,MEX,1986,83.9227,90.9483,133.78705
Mexico,MEX,1987,86.996,93.2052,133.56137
Mexico,MEX,1988,88.5417,96.772,138.39883
Mexico,MEX,1989,91.8614,95.7499,137.35736
Mexico,MEX,1990,95.5072,92.4635,131.01079
Mexico,MEX,1991,98.8398,91.3184,132.79729
Mexico,MEX,1992,99.6188,93.8906,127.994644
Mexico,MEX,1993,99.8831,96.516,127.27072
Mexico,MEX,1994,100.1481,96.415,124.35984
Mexico,MEX,1995,100.4145,95.2856,130.2555
Mexico,MEX,1996,101.0027,97.7811,130.2231
Mexico,MEX,1997,101.2667,102.1605,127.87586
Mexico,MEX,1998,101.4794,102.4691,130.5348
Mexico,MEX,1999,101.7252,99.4665,129.6503
Mexico,MEX,2000,101.9681,95.95,130.28633
Mexico,MEX,2001,102.8189,97.4191,130.8877
Mexico,MEX,2002,103.0224,94.8472,128.88258
Mexico,MEX,2003,103.2649,93.0535,126.77119
Mexico,MEX,2004,103.4313,91.4795,125.49709
Mexico,MEX,2005,103.6348,91.2199,121.56719
Mexico,MEX,2006,103.8383,90.2646,122.93485
Mexico,MEX,2007,104.5025,89.3086,122.017815
Mexico,MEX,2008,103.6933,90.2286,124.99428
Mexico,MEX,2009,103.1604,91.0888,121.55023
Mexico,MEX,2010,102.5299,93.493,117.030785
Mexico,MEX,2011,101.937,93.9723,115.09653
Mexico,MEX,2012,101.2737,97.3742,113.53975
Mexico,MEX,2013,100.7111,98.3019,112.53497
Mexico,MEX,2014,100.1825,100.0358,120.78482
Mexico,MEX,2015,100,100,120.35706
Mexico,MEX,2016,98.9334,99.5255,119.842445
Mexico,MEX,2017,94.3879,101.4426,119.80046
Mexico,MEX,2018,93.3479,101.2166,119.58313
Mexico,MEX,2019,91.8121,101.1515,123.490486
Netherlands,NLD,1961,94.8552,283.1448,4.4227304
Netherlands,NLD,1962,93.2427,269.7226,2.7837598
